nr	length	ratio
292	30598	2.44705694
293	30762	2.44550441
294	30899	2.44531497
295	31120	2.44711803
296	31208	2.44826234
297	31489	2.45088730
298	31553	2.45300474
299	31643	2.45351632
300	31816	2.45626496
301	31896	2.45750828
302	31919	2.45700870
303	31946	2.45681766
304	31961	2.45664873
305	32027	2.45850925
306	32118	2.45794750
307	32243	2.46167354
308	32317	2.46224762
309	32364	2.46395128
310	32468	2.46867397
311	32569	2.46884475
312	32709	2.46841748
313	32774	2.47033994
314	32895	2.46996546
315	33088	2.47091330
316	33168	2.47264052
317	33235	2.47284226
318	33309	2.47484954
319	33401	2.47579868
320	33430	2.47629630
321	33512	2.47558543
322	33681	2.47545201
323	33778	2.47494138
324	33948	2.47254188
325	33997	2.47214951
326	34055	2.47169400
327	34089	2.47147104
328	34160	2.46999277
329	34257	2.46950692
330	34372	2.46765741
331	34432	2.46665234
332	34495	2.46692412
333	34518	2.46627608
334	34636	2.46642455
335	34673	2.46607397
336	34803	2.46654855
337	34972	2.46698646
338	35011	2.46608438
339	35160	2.46632997
340	35269	2.46757154
341	35320	2.46803158
342	35438	2.46834297
343	35515	2.47009320
344	35635	2.47002149
345	35727	2.47023439
346	35838	2.47056390
347	35911	2.47099704
348	35971	2.47019640
349	36093	2.47026213
350	36167	2.46924285
351	36228	2.46919302
352	36474	2.46695976
353	36521	2.46713504
354	36573	2.46714787
355	36724	2.46552534
356	36785	2.46597841
357	36829	2.46611758
358	36888	2.46626997
359	36989	2.46692010
360	37100	2.46905364
361	37254	2.47009680
362	37413	2.47146254
363	37542	2.47295962
364	37819	2.47296149
365	37911	2.47347818
366	38054	2.47360894
367	38218	2.47477822
368	38279	2.47488201
369	38395	2.47534008
370	38612	2.47655699
371	38659	2.47702954
372	38746	2.47784102
373	38797	2.47698397
374	38867	2.47560510
375	38997	2.47584280
376	39071	2.47457090
377	39235	2.47523816
378	39317	2.47432347
379	39469	2.47408011
380	39609	2.47386172
381	39708	2.47509817
382	39761	2.47516185
383	39836	2.47505436
384	39945	2.47306835
385	40074	2.47202517
386	40163	2.47202560
387	40243	2.47253625
388	40323	2.47274177
389	40461	2.47210851
390	40503	2.47210693
391	40665	2.47008443
392	40806	2.46979785
393	40935	2.46968326
394	41113	2.47028781
395	41146	2.47019271
396	41219	2.46997843
397	41331	2.46958652
398	41444	2.46837403
399	41626	2.46906697
400	41694	2.46929227
401	41828	2.46991438
402	41956	2.46959798
403	42072	2.46800023
404	42284	2.46510814
405	42541	2.46528744
406	42616	2.46463478
407	42627	2.46470078
408	42796	2.46463948
409	42977	2.46413623
410	43036	2.46455160
411	43091	2.46403248
412	43213	2.46255984
413	43391	2.46273909
414	43418	2.46329286
415	43516	2.46298393
416	43659	2.46382619
417	43772	2.46311406
418	43893	2.46202603
419	44070	2.46146113
420	44136	2.46102375
421	44245	2.46051607
422	44364	2.46042926
423	44453	2.46167903
424	44658	2.46307429
425	44715	2.46268657
426	44882	2.46239096
427	44975	2.46316885
428	45052	2.46266535
429	45197	2.46184433
430	45275	2.46233752
431	45422	2.46176359
432	45589	2.46054620
433	45724	2.46039604
434	45855	2.46029617
435	46004	2.45971235
436	46145	2.45818240
437	46205	2.45771277
438	46289	2.45721414
439	46360	2.45693995
440	46453	2.45744062
441	46521	2.45752773
442	46584	2.45657333
443	46672	2.45655034
444	46853	2.45741110
445	46910	2.45859539
446	47004	2.45862538
447	47107	2.45848338
448	47259	2.45705521
449	47396	2.45613308
450	47584	2.45658234
451	47653	2.45773377
452	47752	2.45789582
453	47937	2.45742554
454	47997	2.45785539
455	48114	2.45755440
456	48219	2.45789581
457	48341	2.45835028
458	48446	2.45781543
459	48562	2.45908446
460	48693	2.45824919
461	48863	2.45777375
462	49088	2.45808713
463	49209	2.45860605
464	49346	2.45918469
465	49436	2.45852397
466	49525	2.45830438
467	49584	2.45806068
468	49795	2.46071358
469	49885	2.46017655
470	49946	2.46027289
471	50033	2.46043767
472	50123	2.46147424
473	50338	2.46332273
474	50376	2.46361502
475	50512	2.46375963
476	50731	2.46446442
477	50806	2.46451613
478	50883	2.46526163
479	51012	2.46494322
480	51110	2.46527108
481	51282	2.46607358
482	51427	2.46687773
483	51469	2.46723551
484	51592	2.46745421
485	51751	2.46727056
486	51914	2.46739544
487	52035	2.46857062
488	52053	2.46825359
489	52242	2.46727118
490	52403	2.46706841
491	52493	2.46758802
492	52643	2.46756351
493	52703	2.46794662
494	52832	2.46913119
495	52915	2.46931728
496	52999	2.46943435
497	53166	2.47019468
498	53272	2.46949750
499	53444	2.46888714
500	53501	2.46946688
501	53729	2.47052603
502	53871	2.47092010
503	53925	2.47124330
504	54012	2.47149263
505	54078	2.47236319
506	54207	2.47272147
507	54388	2.47251898
508	54447	2.47261580
509	54532	2.47288228
510	54588	2.47317869
511	54665	2.47352941
512	54762	2.47400045
513	54808	2.47395504
514	54885	2.47452660
515	54973	2.47536924
516	55028	2.47483697
517	55119	2.47536714
518	55190	2.47633149
519	55257	2.47722586
520	55291	2.47741733
521	55420	2.47808979
522	55480	2.47800259
523	55564	2.47799135
524	55677	2.47838860
525	55733	2.47812361
526	55805	2.47890014
527	55985	2.47907718
528	56078	2.47946235
529	56118	2.47958643
530	56195	2.47937348
531	56330	2.47920426
532	56362	2.47963044
533	56470	2.47979975
534	56621	2.48065717
535	56760	2.47968545
536	56881	2.47987967
537	56951	2.47990420
538	57019	2.47930255
539	57064	2.47974970
540	57118	2.47951033
541	57234	2.47905748
542	57366	2.47972681
543	57470	2.47939946
