nr	length	ratio
2117	219110	2.58375293
2118	219265	2.58375264
2119	219372	2.58409998
2120	219457	2.58415760
2121	219520	2.58416914
2122	219575	2.58408652
2123	219770	2.58379675
2124	219879	2.58380239
2125	219981	2.58375617
2126	220044	2.58388915
2127	220173	2.58370494
2128	220248	2.58340273
2129	220480	2.58288231
2130	220543	2.58274291
2131	220646	2.58231611
2132	220766	2.58220949
2133	220895	2.58205728
2134	220960	2.58188149
2135	221013	2.58174661
2136	221038	2.58176721
2137	221070	2.58171881
2138	221094	2.58160716
2139	221116	2.58162288
2140	221135	2.58142277
2141	221206	2.58134759
2142	221364	2.58105288
2143	221409	2.58091552
2144	221504	2.58063915
2145	221543	2.58055235
2146	221579	2.58052081
2147	221676	2.58035829
2148	221815	2.58056447
2149	221909	2.58063728
2150	222006	2.58035496
2151	222020	2.58012783
2152	222038	2.58006716
2153	222058	2.57984990
2154	222114	2.57987107
2155	222294	2.57953491
2156	222316	2.57955073
2157	222343	2.57920562
2158	222563	2.57897542
2159	222696	2.57863412
2160	222730	2.57863965
2161	222832	2.57862640
2162	222944	2.57849022
2163	223092	2.57766788
2164	223149	2.57761170
2165	223309	2.57737587
2166	223355	2.57704422
2167	223739	2.57588736
2168	223866	2.57568889
2169	223958	2.57562131
2170	224005	2.57553982
2171	224050	2.57543537
2172	224086	2.57531633
2173	224109	2.57534388
2174	224187	2.57514531
2175	224249	2.57485188
2176	224502	2.57423949
2177	224674	2.57379171
2178	224750	2.57371887
2179	224935	2.57292048
2180	224974	2.57292512
2181	225061	2.57286082
2182	225100	2.57277725
2183	225299	2.57211193
2184	225490	2.57200214
2185	225543	2.57190262
2186	225692	2.57175414
2187	225774	2.57172147
2188	225839	2.57152454
2189	225890	2.57143182
2190	226112	2.57126612
2191	226173	2.57125804
2192	226388	2.57072129
2193	226457	2.57059992
2194	226521	2.57036356
2195	226723	2.57023500
2196	226770	2.57021421
2197	226873	2.57001257
2198	227173	2.56936527
2199	227270	2.56947428
2200	227349	2.56940881
2201	227593	2.56871177
2202	227683	2.56865488
2203	227817	2.56787800
2204	227929	2.56766439
2205	228041	2.56710420
2206	228196	2.56702852
2207	228335	2.56691736
2208	228420	2.56689179
2209	228526	2.56666966
2210	228638	2.56628467
2211	228776	2.56590399
2212	228900	2.56591337
2213	228964	2.56576795
2214	229082	2.56533668
2215	229160	2.56514731
2216	229219	2.56494640
2217	229367	2.56479442
2218	229548	2.56455289
2219	229658	2.56463573
2220	229691	2.56460329
2221	229769	2.56447202
2222	229979	2.56409713
2223	230056	2.56406941
2224	230167	2.56410628
2225	230258	2.56414882
2226	230396	2.56382979
2227	230613	2.56379099
2228	230725	2.56383901
2229	230886	2.56374781
2230	230984	2.56327056
2231	231024	2.56337309
2232	231104	2.56346433
2233	231192	2.56330314
2234	231240	2.56321011
2235	231375	2.56303033
2236	231416	2.56300185
2237	231490	2.56282798
2238	231528	2.56279471
2239	231565	2.56269367
2240	231738	2.56267970
2241	231973	2.56227495
2242	232037	2.56230261
2243	232136	2.56232063
2244	232277	2.56198229
2245	232516	2.56156702
2246	232587	2.56138979
2247	232650	2.56143480
2248	232790	2.56125604
2249	232925	2.56099438
2250	233133	2.56043799
2251	233188	2.56039528
2252	233323	2.55991003
2253	233448	2.55956845
2254	233584	2.55937589
2255	233657	2.55880195
2256	233920	2.55843204
2257	233992	2.55826819
2258	234064	2.55821630
2259	234103	2.55813928
2260	234330	2.55790853
2261	234422	2.55771224
2262	234470	2.55776154
2263	234522	2.55763128
2264	234675	2.55731970
2265	234855	2.55721908
2266	234943	2.55703573
2267	235067	2.55682696
2268	235149	2.55660654
2269	235224	2.55661587
2270	235300	2.55658051
2271	235395	2.55652939
2272	235466	2.55635653
2273	235607	2.55616673
2274	235751	2.55576033
2275	235855	2.55577950
2276	235911	2.55580473
2277	235950	2.55570118
2278	236111	2.55561809
2279	236183	2.55559523
2280	236231	2.55564451
2281	236366	2.55539099
2282	236447	2.55529979
2283	236604	2.55531196
2284	236667	2.55524725
2285	236760	2.55512028
2286	236816	2.55506285
2287	236951	2.55494814
2288	237190	2.55474295
2289	237253	2.55467858
2290	237339	2.55464184
2291	237485	2.55456355
2292	237589	2.55433591
2293	237657	2.55421570
2294	237703	2.55413363
2295	237776	2.55406726
2296	237820	2.55399122
2297	237966	2.55385870
2298	238029	2.55371262
2299	238157	2.55308634
2300	238241	2.55308364
2301	238295	2.55286896
2302	238461	2.55256904
2303	238540	2.55256766
2304	238632	2.55245960
2305	238815	2.55190579
2306	238945	2.55187697
2307	239050	2.55182647
2308	239277	2.55166199
2309	239369	2.55174509
2310	239446	2.55177706
2311	239489	2.55185457
2312	239584	2.55188795
2313	239682	2.55138277
2314	240004	2.55000584
2315	240165	2.55000956
2316	240236	2.54986998
2317	240366	2.54981542
2318	240421	2.54983084
2319	240513	2.54988709
2320	240790	2.54955317
2321	240878	2.54937821
2322	240999	2.54944462
2323	241079	2.54921222
2324	241223	2.54898293
2325	241303	2.54869715
2326	241339	2.54878126
2327	241429	2.54887035
2328	241482	2.54875719
2329	241557	2.54849975
2330	241588	2.54831598
2331	241660	2.54813471
2332	241790	2.54783983
2333	241866	2.54770106
2334	242011	2.54767193
2335	242112	2.54728713
2336	242274	2.54687467
2337	242382	2.54669819
2338	242642	2.54640668
2339	242711	2.54614215
2340	242797	2.54624299
2341	242871	2.54627135
2342	243070	2.54592873
2343	243194	2.54594753
2344	243308	2.54583503
2345	243484	2.54597166
2346	243581	2.54605414
2347	243691	2.54587338
2348	243823	2.54586936
2349	243981	2.54597725
2350	244011	2.54591837
2351	244046	2.54591166
2352	244117	2.54566974
2353	244184	2.54549245
2354	244219	2.54540622
2355	244262	2.54537686
2356	244392	2.54524625
2357	244424	2.54526143
2358	244506	2.54516119
2359	244542	2.54503257
2360	244656	2.54468298
2361	244784	2.54416197
2362	244848	2.54419252
2363	244958	2.54411948
2364	244969	2.54404877
2365	245005	2.54399992
2366	245130	2.54381869
2367	245183	2.54373515
2368	245207	2.54372024
2369	245341	2.54357991
2370	245549	2.54341589
2371	245632	2.54327456
2372	245793	2.54296681
2373	245834	2.54291743
2374	245959	2.54234327
2375	246057	2.54230511
2376	246251	2.54228696
2377	246360	2.54228368
2378	246475	2.54228984
2379	246510	2.54223130
2380	246585	2.54227066
2381	246654	2.54237917
2382	246715	2.54248379
2383	246950	2.54202394
2384	246997	2.54193210
2385	247054	2.54173397
2386	247085	2.54168681
2387	247172	2.54150986
2388	247329	2.54132117
2389	247442	2.54102014
2390	247476	2.54110834
2391	247561	2.54106791
2392	247661	2.54102498
2393	247720	2.54092643
2394	247764	2.54077834
2395	247824	2.54071621
2396	248046	2.54043978
2397	248209	2.54015801
2398	248233	2.54019566
2399	248263	2.54021671
2400	248350	2.53998936
2401	248503	2.53963209
2402	248560	2.53953983
2403	248775	2.53914224
2404	248830	2.53921118
2405	249027	2.53876032
2406	249179	2.53852423
2407	249264	2.53848504
2408	249366	2.53848973
2409	249429	2.53833003
2410	249516	2.53828547
2411	249591	2.53811892
2412	249713	2.53801746
2413	249864	2.53800445
2414	249934	2.53781325
2415	250018	2.53779005
2416	250102	2.53784412
2417	250121	2.53785665
2418	250233	2.53775709
2419	250259	2.53763474
2420	250359	2.53751660
2421	250390	2.53752217
2422	250449	2.53745149
2423	250494	2.53747037
2424	250659	2.53721418
2425	250721	2.53701998
2426	250777	2.53684221
2427	250799	2.53680814
2428	250948	2.53657057
2429	250979	2.53647370
2430	251066	2.53627639
2431	251226	2.53620174
2432	251441	2.53604244
2433	251599	2.53574344
2434	251701	2.53551929
2435	251732	2.53549953
2436	251786	2.53560926
2437	251816	2.53555390
2438	251934	2.53551660
2439	252053	2.53515786
2440	252075	2.53512415
2441	252254	2.53491036
2442	252494	2.53462226
2443	252644	2.53437259
2444	252705	2.53445060
2445	252875	2.53419853
2446	253041	2.53395754
2447	253209	2.53386370
2448	253378	2.53324802
2449	253435	2.53326070
2450	253605	2.53298509
2451	253660	2.53292726
2452	253933	2.53259330
2453	254032	2.53251984
2454	254213	2.53248125
2455	254263	2.53255045
2456	254460	2.53234346
2457	254621	2.53240837
2458	254760	2.53233005
2459	254839	2.53236016
2460	254902	2.53240741
2461	255211	2.53240787
2462	255294	2.53240222
2463	255517	2.53255429
2464	255670	2.53218842
2465	255936	2.53153839
2466	256146	2.53128706
2467	256195	2.53117096
2468	256317	2.53092600
2469	256449	2.53073006
2470	256624	2.53053416
2471	256775	2.53045115
2472	257033	2.53010139
2473	257095	2.53011396
2474	257324	2.53012664
2475	257371	2.53016585
2476	257505	2.53033891
2477	257671	2.53003093
2478	257847	2.52969743
2479	258005	2.52958478
2480	258050	2.52948038
2481	258137	2.52946537
2482	258220	2.52943597
2483	258445	2.52926151
2484	258752	2.52914728
2485	258852	2.52913589
2486	259005	2.52895055
2487	259220	2.52917301
2488	259439	2.52931083
2489	259615	2.52912811
2490	259734	2.52888313
2491	259988	2.52877096
2492	260112	2.52872267
2493	260144	2.52868960
2494	260312	2.52860210
2495	260608	2.52845639
2496	260840	2.52847491
2497	260963	2.52846623
2498	261133	2.52834957
2499	261256	2.52841437
2500	261549	2.52787389
2501	261693	2.52762887
2502	261839	2.52740347
2503	261966	2.52733640
2504	262214	2.52687675
2505	262589	2.52632744
2506	262688	2.52618622
2507	262992	2.52585478
2508	263253	2.52574164
2509	263431	2.52541414
2510	263524	2.52543412
2511	263675	2.52559841
2512	264091	2.52525339
2513	264287	2.52517174
2514	264484	2.52519620
2515	264676	2.52534158
2516	264827	2.52519214
2517	264857	2.52518925
2518	265003	2.52520892
2519	265096	2.52510859
2520	265197	2.52510855
2521	265435	2.52523475
2522	265623	2.52538957
2523	265692	2.52530130
2524	265898	2.52553094
2525	266199	2.52498435
2526	266431	2.52498152
2527	266662	2.52492141
2528	266808	2.52482162
2529	267000	2.52484657
2530	267394	2.52499079
2531	267520	2.52501227
2532	267899	2.52413436
2533	268035	2.52389382
2534	268150	2.52371720
2535	268268	2.52375890
2536	268348	2.52365681
2537	268514	2.52355667
2538	268584	2.52366903
2539	268642	2.52366861
2540	268690	2.52369279
2541	269095	2.52332549
2542	269141	2.52335458
2543	269272	2.52323435
2544	269340	2.52313861
2545	269512	2.52269387
2546	269626	2.52267475
2547	269838	2.52227478
2548	270012	2.52225087
2549	270367	2.52210375
2550	270474	2.52206671
2551	270513	2.52210112
2552	270669	2.52186268
2553	270804	2.52175775
2554	270929	2.52179457
2555	271148	2.52143913
2556	271216	2.52127432
2557	271355	2.52104315
2558	271620	2.52097565
2559	271818	2.52115197
2560	272036	2.52132649
2561	272103	2.52129316
2562	272243	2.52130546
2563	272555	2.52118291
2564	272627	2.52119592
2565	272763	2.52117128
2566	272914	2.52112221
2567	273127	2.52099390
2568	273202	2.52096482
2569	273329	2.52081085
2570	273426	2.52098469
2571	273683	2.52105307
2572	273749	2.52101080
2573	273816	2.52107061
2574	274067	2.52108362
2575	274275	2.52102578
2576	274476	2.52122793
2577	274554	2.52134225
2578	274622	2.52143415
2579	274687	2.52145218
2580	274708	2.52134407
2581	274731	2.52127747
2582	274806	2.52117909
2583	274871	2.52117404
2584	274926	2.52100794
2585	275073	2.52089958
2586	275170	2.52077207
2587	275287	2.52073547
2588	275436	2.52094564
2589	275485	2.52097880
2590	275512	2.52087984
2591	275571	2.52061247
2592	275652	2.52026990
2593	275921	2.52017171
2594	276029	2.52005332
2595	276318	2.51928775
2596	276506	2.51916437
2597	276688	2.51880308
2598	276916	2.51883789
2599	277051	2.51894315
2600	277234	2.51854611
2601	277316	2.51842165
2602	277463	2.51808727
2603	277573	2.51801152
2604	277678	2.51784484
2605	277799	2.51761795
2606	278032	2.51794965
2607	278406	2.51700570
2608	278456	2.51693437
2609	278659	2.51735851
2610	278760	2.51731580
2611	278958	2.51739884
2612	279103	2.51738974
2613	279120	2.51731602
2614	279292	2.51734612
2615	279428	2.51696121
2616	279651	2.51663502
2617	279692	2.51666427
2618	279741	2.51667491
2619	279868	2.51634598
2620	279920	2.51633840
2621	280041	2.51604643
2622	280236	2.51619333
2623	280299	2.51596833
2624	280307	2.51594981
2625	280349	2.51592031
2626	280450	2.51572045
2627	280656	2.51517677
2628	280720	2.51511921
2629	280939	2.51500828
2630	281006	2.51491015
2631	281069	2.51491128
2632	281192	2.51452690
2633	281349	2.51440189
2634	281585	2.51426403
2635	281656	2.51429184
2636	281718	2.51423931
2637	281794	2.51419955
2638	281925	2.51422431
2639	282041	2.51400328
2640	282143	2.51381452
2641	282218	2.51372126
2642	282281	2.51370028
2643	282332	2.51377388
2644	282351	2.51371924
2645	282461	2.51355729
2646	282479	2.51358326
2647	282573	2.51336856
2648	282682	2.51328740
2649	282715	2.51329031
2650	282723	2.51331674
2651	282882	2.51307701
2652	282975	2.51301020
2653	283051	2.51319411
2654	283104	2.51330765
2655	283208	2.51344995
2656	283314	2.51329773
2657	283546	2.51308186
2658	283565	2.51307207
2659	283745	2.51304148
2660	283809	2.51320765
2661	283884	2.51309290
2662	284124	2.51330408
2663	284150	2.51337844
2664	284210	2.51319780
2665	284294	2.51325165
2666	284460	2.51311953
2667	284528	2.51318741
2668	284557	2.51317719
2669	284623	2.51329395
2670	284683	2.51322457
2671	284779	2.51333986
2672	284829	2.51335969
2673	284987	2.51313504
2674	285091	2.51320998
2675	285262	2.51301161
2676	285378	2.51297089
2677	285474	2.51306384
2678	285626	2.51305243
2679	285686	2.51311599
2680	285727	2.51303453
2681	285828	2.51297245
2682	285876	2.51299677
2683	285936	2.51294986
2684	285957	2.51291357
2685	286009	2.51284056
2686	286089	2.51288110
2687	286130	2.51291014
2688	286215	2.51272979
2689	286340	2.51268011
2690	286395	2.51267766
2691	286514	2.51253135
2692	286629	2.51250427
2693	286706	2.51236439
2694	286788	2.51218038
2695	286832	2.51219170
2696	286873	2.51206676
2697	286897	2.51199096
2698	286913	2.51191112
2699	286954	2.51189622
2700	287000	2.51181516
2701	287030	2.51179194
2702	287100	2.51174510
2703	287233	2.51159029
2704	287335	2.51145005
2705	287385	2.51133831
2706	287438	2.51127478
2707	287517	2.51119709
2708	287558	2.51118233
2709	287608	2.51104883
2710	287672	2.51092801
2711	287719	2.51092183
2712	287735	2.51092999
2713	287783	2.51086681
2714	287891	2.51091090
2715	287969	2.51080285
2716	288032	2.51076108
2717	288279	2.51050693
2718	288336	2.51067535
2719	288377	2.51072629
2720	288504	2.51062978
2721	288560	2.51065829
2722	288606	2.51059980
2723	288625	2.51054669
2724	288788	2.51032684
2725	288912	2.51040092
2726	288944	2.51043902
2727	288974	2.51039432
2728	288997	2.51035423
2729	289120	2.51020160
2730	289154	2.51025706
2731	289233	2.51011482
2732	289338	2.51002403
2733	289388	2.50997875
2734	289456	2.51006781
2735	289644	2.51032666
2736	289776	2.51038283
2737	289803	2.51039925
2738	289868	2.51050562
2739	289898	2.51048279
2740	290000	2.51038781
2741	290173	2.51027735
2742	290205	2.51031530
2743	290269	2.51036946
2744	290309	2.51021608
2745	290380	2.51028735
2746	290505	2.51021784
2747	290593	2.51019738
2748	290707	2.51024972
2749	290977	2.50993703
2750	291071	2.50996844
2751	291205	2.50999845
2752	291278	2.51006515
2753	291303	2.51008591
2754	291403	2.51032029
2755	291528	2.51040231
2756	291678	2.51050498
2757	291700	2.51054308
2758	291842	2.51053361
2759	291899	2.51046245
2760	291994	2.51028637
2761	292159	2.51030210
2762	292209	2.51040817
2763	292250	2.51035063
2764	292305	2.51041336
2765	292365	2.51030344
2766	292507	2.51046646
2767	292575	2.51048987
2768	292660	2.51033607
2769	292842	2.51030380
2770	292893	2.51020303
2771	292929	2.51018887
2772	292998	2.51007033
2773	293047	2.50995255
2774	293061	2.50992198
2775	293132	2.50986369
2776	293177	2.50990514
2777	293301	2.50995678
2778	293366	2.50999752
2779	293489	2.50989028
2780	293584	2.51008020
2781	293640	2.51004394
2782	293690	2.51006367
2783	293735	2.50995488
2784	293782	2.50990611
2785	293884	2.50987693
2786	293989	2.50980911
2787	294038	2.50962753
2788	294124	2.50950480
2789	294242	2.50952665
2790	294443	2.50918651
2791	294550	2.50922163
2792	294564	2.50921264
2793	294593	2.50916044
2794	294661	2.50907713
2795	294793	2.50904742
2796	294855	2.50910530
2797	294916	2.50911195
2798	294924	2.50915866
2799	294961	2.50904652
2800	294991	2.50902426
2801	295072	2.50881698
2802	295146	2.50867828
2803	295246	2.50869665
2804	295286	2.50861022
2805	295348	2.50858283
2806	295429	2.50841859
2807	295490	2.50834020
2808	295558	2.50829995
2809	295611	2.50823887
2810	295641	2.50819547
2811	295698	2.50825346
2812	295777	2.50826401
2813	295912	2.50800512
2814	296007	2.50798129
2815	296061	2.50799258
2816	296130	2.50802470
2817	296153	2.50790089
2818	296203	2.50794202
2819	296273	2.50785522
2820	296291	2.50785899
2821	296470	2.50793060
2822	296565	2.50775839
2823	296610	2.50765121
2824	296637	2.50760387
2825	296675	2.50743758
2826	296721	2.50733896
2827	296783	2.50733319
2828	296923	2.50701217
2829	297058	2.50709361
2830	297272	2.50678405
2831	297370	2.50668038
2832	297618	2.50653124
2833	297663	2.50657247
2834	297848	2.50650509
2835	297947	2.50647340
2836	297992	2.50628270
2837	298073	2.50609977
2838	298130	2.50582055
2839	298195	2.50575611
2840	298264	2.50568320
2841	298360	2.50545833
2842	298386	2.50546627
2843	298484	2.50530044
2844	298549	2.50517315
2845	298636	2.50508338
2846	298685	2.50507414
2847	298737	2.50502704
2848	298803	2.50499233
2849	298889	2.50506227
2850	298914	2.50514583
2851	298927	2.50491888
2852	299091	2.50442537
2853	299108	2.50431608
2854	299149	2.50430291
2855	299176	2.50413064
2856	299231	2.50406701
2857	299298	2.50395717
2858	299377	2.50371739
2859	299451	2.50370810
2860	299559	2.50362725
2861	299605	2.50361414
2862	299673	2.50353383
2863	299806	2.50353645
2864	299853	2.50342720
2865	299879	2.50349796
2866	299906	2.50353526
2867	299990	2.50342146
2868	300010	2.50340034
2869	300049	2.50334977
2870	300067	2.50333286
2871	300104	2.50326563
2872	300129	2.50316097
2873	300170	2.50310626
2874	300277	2.50297579
2875	300301	2.50292549
2876	300374	2.50288724
2877	300439	2.50259473
2878	300483	2.50260686
2879	300591	2.50244341
2880	300624	2.50242648
2881	300689	2.50261340
2882	300754	2.50248789
2883	300859	2.50246621
2884	300899	2.50234101
2885	300933	2.50227001
2886	300974	2.50211160
2887	301038	2.50206124
2888	301166	2.50206452
2889	301184	2.50202698
2890	301316	2.50204271
2891	301393	2.50195496
2892	301465	2.50190881
2893	301523	2.50193335
2894	301581	2.50189562
2895	301635	2.50182473
2896	301654	2.50175407
2897	301726	2.50166653
2898	301755	2.50155438
2899	301831	2.50154155
2900	301944	2.50125500
2901	301970	2.50107673
2902	302004	2.50104761
2903	302080	2.50107634
2904	302130	2.50066214
2905	302199	2.50065371
2906	302221	2.50054608
2907	302376	2.50050444
2908	302457	2.50045056
2909	302494	2.50030170
2910	302540	2.50024793
2911	302584	2.50003305
2912	302635	2.50000000
2913	302665	2.49985546
2914	302729	2.49957890
2915	302889	2.49949662
2916	302957	2.49941837
2917	303053	2.49926190
2918	303119	2.49937334
2919	303211	2.49889565
2920	303288	2.49878887
2921	303462	2.49876076
2922	303592	2.49876129
2923	303667	2.49904948
2924	303731	2.49910315
2925	303821	2.49932955
2926	303961	2.49924766
2927	304077	2.49909184
2928	304230	2.49905535
2929	304251	2.49891994
2930	304291	2.49892009
2931	304460	2.49872790
2932	304505	2.49872809
2933	304555	2.49862580
2934	304607	2.49849897
2935	304647	2.49847867
2936	304748	2.49830303
2937	304815	2.49815598
2938	304956	2.49808316
2939	305055	2.49791196
2940	305081	2.49787941
2941	305197	2.49760221
2942	305367	2.49746056
2943	305390	2.49746483
2944	305517	2.49735973
2945	305555	2.49730291
2946	305603	2.49726660
2947	305692	2.49705524
2948	305725	2.49699846
2949	305826	2.49706877
2950	305843	2.49704446
2951	305860	2.49702016
2952	305895	2.49697974
2953	305945	2.49693948
2954	306005	2.49681783
2955	306064	2.49668809
2956	306150	2.49671753
2957	306178	2.49682370
2958	306231	2.49672654
2959	306266	2.49676762
2960	306320	2.49665830
2961	306390	2.49651666
2962	306527	2.49629051
2963	306593	2.49615717
2964	306693	2.49609747
2965	306737	2.49613053
2966	306800	2.49609477
2967	306846	2.49604256
2968	306903	2.49597833
2969	306925	2.49595426
2970	307075	2.49581423
2971	307109	2.49584715
2972	307166	2.49568164
2973	307220	2.49565401
2974	307304	2.49570789
2975	307334	2.49574884
2976	307356	2.49576536
2977	307395	2.49583885
2978	307422	2.49571359
2979	307442	2.49569361
2980	307488	2.49566184
2981	307543	2.49550061
2982	307587	2.49539193
2983	307600	2.49537593
2984	307632	2.49531164
2985	307662	2.49519067
2986	307724	2.49520782
2987	307762	2.49519223
2988	307784	2.49512784
2989	307814	2.49510809
2990	307859	2.49504814
2991	307883	2.49506066
2992	308023	2.49480019
2993	308075	2.49465561
2994	308108	2.49472082
2995	308144	2.49474971
2996	308178	2.49472202
2997	308248	2.49454151
2998	308302	2.49451421
2999	308469	2.49427109
3000	308553	2.49428474
3001	308666	2.49412962
3002	308759	2.49399439
3003	308839	2.49385497
3004	308908	2.49380802
3005	308950	2.49378471
3006	308985	2.49378541
3007	309017	2.49374178
3008	309035	2.49374617
3009	309065	2.49376689
3010	309100	2.49372736
3011	309133	2.49371193
3012	309195	2.49372928
3013	309265	2.49383124
3014	309313	2.49371558
3015	309359	2.49368435
3016	309390	2.49367293
3017	309404	2.49368527
3018	309431	2.49364161
3019	309505	2.49367527
3020	309519	2.49366752
3021	309548	2.49370025
3022	309641	2.49360575
3023	309651	2.49358587
3024	309730	2.49367985
3025	309763	2.49362432
3026	309911	2.49343074
3027	309941	2.49343137
3028	309987	2.49344037
3029	310017	2.49338084
3030	310048	2.49336947
3031	310174	2.49336013
3032	310214	2.49332090
3033	310285	2.49327034
3034	310293	2.49321441
3035	310345	2.49319151
3036	310376	2.49320020
3037	310485	2.49307446
3038	310578	2.49294045
3039	310614	2.49288925
3040	310656	2.49282619
3041	310716	2.49276758
3042	310736	2.49272805
3043	310757	2.49269654
3044	310778	2.49264505
3045	310803	2.49262565
3046	310833	2.49278628
3047	310859	2.49275490
3048	310907	2.49264010
3049	310970	2.49256567
3050	310992	2.49256220
3051	311012	2.49256267
3052	311127	2.49236574
3053	311152	2.49242625
3054	311222	2.49240798
3055	311298	2.49231804
3056	311331	2.49234279
3057	311472	2.49203517
3058	311491	2.49200774
3059	311628	2.49184785
3060	311670	2.49184496
3061	311727	2.49186238
3062	311761	2.49185530
3063	311787	2.49188386
3064	311820	2.49188870
3065	311866	2.49189785
3066	311883	2.49187440
3067	311950	2.49181245
3068	311987	2.49169003
3069	312027	2.49177068
3070	312090	2.49163706
3071	312323	2.49150812
3072	312386	2.49147406
3073	312479	2.49130178
3074	312555	2.49121255
3075	312635	2.49115524
3076	312673	2.49112058
3077	312702	2.49109362
3078	312747	2.49119411
3079	312778	2.49116324
3080	312790	2.49111992
3081	312812	2.49107690
3082	312847	2.49097872
3083	312860	2.49090373
3084	312941	2.49091401
3085	312993	2.49095120
3086	313022	2.49090446
3087	313048	2.49093296
3088	313067	2.49090576
3089	313166	2.49094033
3090	313210	2.49087424
3091	313231	2.49082335
3092	313321	2.49072698
3093	313390	2.49064191
3094	313412	2.49059902
3095	313448	2.49062781
3096	313469	2.49059677
3097	313517	2.49052302
3098	313553	2.49037377
3099	313568	2.49027534
3100	313587	2.49028779
3101	313617	2.49026894
3102	313770	2.49006023
3103	313832	2.48995946
3104	313866	2.49003165
3105	313900	2.49012359
3106	313980	2.49002736
3107	314019	2.49002070
3108	314059	2.48996274
3109	314088	2.48995576
3110	314120	2.48997257
3111	314142	2.48994959
3112	314209	2.48994778
3113	314249	2.48988987
3114	314272	2.48991428
3115	314310	2.48997861
3116	314337	2.48997552
3117	314366	2.49000800
3118	314439	2.48995510
3119	314507	2.48996121
3120	314559	2.48995892
3121	314632	2.48992577
3122	314703	2.48991621
3123	314737	2.49002761
3124	314768	2.48995768
3125	314791	2.48994265
3126	314843	2.48992068
3127	314887	2.48989452
3128	314919	2.48977349
3129	315000	2.48968559
3130	315125	2.48947331
3131	315196	2.48942455
3132	315225	2.48943731
3133	315266	2.48942689
3134	315288	2.48940404
3135	315319	2.48939328
3136	315454	2.48924065
3137	315470	2.48919013
3138	315524	2.48916448
3139	315666	2.48906727
3140	315687	2.48907584
3141	315726	2.48903009
3142	315829	2.48917490
3143	315867	2.48912127
3144	315975	2.48907007
3145	316012	2.48904782
3146	316104	2.48900787
3147	316123	2.48896150
3148	316141	2.48894645
3149	316160	2.48890009
3150	316249	2.48883660
3151	316268	2.48879026
3152	316309	2.48872121
3153	316343	2.48871459
3154	316379	2.48864539
3155	316409	2.48856817
3156	316434	2.48856907
3157	316463	2.48856228
3158	316508	2.48860304
3159	316552	2.48857722
3160	316590	2.48866075
3161	316697	2.48852377
3162	316852	2.48837301
3163	316932	2.48843454
3164	317014	2.48843361
3165	317050	2.48836461
3166	317120	2.48848433
3167	317143	2.48848906
3168	317216	2.48849560
3169	317241	2.48843795
3170	317283	2.48837702
3171	317315	2.48837428
3172	317339	2.48830882
3173	317412	2.48825687
3174	317453	2.48816867
3175	317482	2.48816195
3176	317520	2.48816726
3177	317577	2.48812648
3178	317647	2.48814858
3179	317667	2.48812983
3180	317692	2.48813076
3181	317718	2.48808107
3182	317751	2.48808620
3183	317864	2.48823064
3184	317937	2.48821775
3185	317955	2.48814443
3186	317988	2.48820795
3187	318035	2.48810846
3188	318079	2.48808285
3189	318170	2.48799675
3190	318213	2.48806061
3191	318407	2.48792399
3192	318452	2.48798400
3193	318609	2.48802486
3194	318664	2.48796865
3195	318730	2.48805658
3196	318739	2.48795204
3197	318800	2.48802035
3198	318816	2.48804814
3199	318895	2.48802391
3200	318922	2.48800162
3201	318998	2.48816748
3202	319038	2.48814955
3203	319079	2.48819763
3204	319212	2.48810944
3205	319238	2.48813755
3206	319356	2.48814579
3207	319399	2.48820940
3208	319475	2.48820057
3209	319525	2.48824116
3210	319559	2.48817653
3211	319666	2.48813786
3212	319683	2.48815398
3213	319730	2.48803567
3214	319823	2.48802365
3215	319896	2.48814635
3216	319964	2.48813338
3217	320032	2.48815910
3218	320098	2.48816927
3219	320274	2.48802884
3220	320406	2.48799124
3221	320494	2.48795976
3222	320540	2.48793058
3223	320615	2.48795270
3224	320767	2.48812820
3225	320846	2.48816199
3226	320906	2.48822207
3227	320933	2.48819990
3228	320970	2.48823598
3229	321100	2.48837570
3230	321158	2.48836236
3231	321245	2.48820746
3232	321288	2.48823215
3233	321321	2.48825648
3234	321368	2.48817727
3235	321412	2.48805561
3236	321451	2.48797232
3237	321543	2.48793340
3238	321687	2.48775791
3239	321812	2.48770495
3240	321942	2.48769067
3241	322029	2.48769013
3242	322105	2.48770071
3243	322158	2.48768735
3244	322183	2.48766910
3245	322243	2.48769059
3246	322309	2.48771998
3247	322348	2.48771377
3248	322428	2.48758246
3249	322531	2.48755187
3250	322588	2.48758858
3251	322654	2.48750289
3252	322711	2.48761630
3253	322727	2.48760541
3254	322792	2.48772292
3255	322858	2.48775226
3256	322973	2.48789074
3257	322989	2.48786068
3258	323037	2.48786630
3259	323069	2.48786367
3260	323183	2.48778366
3261	323256	2.48780938
3262	323284	2.48783341
3263	323493	2.48779531
3264	323552	2.48788552
3265	323749	2.48790815
3266	323847	2.48793473
3267	323887	2.48797444
3268	323959	2.48816436
3269	324075	2.48827174
3270	324111	2.48835710
3271	324160	2.48837031
3272	324248	2.48845366
3273	324285	2.48847025
3274	324359	2.48850341
3275	324414	2.48852444
3276	324493	2.48863410
3277	324559	2.48862495
3278	324799	2.48857611
3279	324863	2.48847541
3280	324955	2.48839863
3281	325001	2.48836978
